,word,frequency,example,misspelling,correction
6,tohyo,1,Tohyo Porimah Kabushikigaisha,YES,toyo
7,togyo,3,"Nippon Kagaku Togyo Co., Ltd.",YES,toyo
8,todyo,1,Todyo Kogyo Corporation,YES,toyo
9,toy,474,Kenner Parker Toy Inc.,NO,toyo
10,too,29,"Eco Too, LLC",NO,toyo
11,toytoa,3,Toytoa Jidosha Kabushiki Kaisha,YES,toyo
12,toyoya,3,Toyoya Jidosha Kabushiki Kaisha,YES,toyo
13,toyoto,46,Toyoto Jidosha Kogyo Kabushiki Kaisha,YES,toyo
14,toyora,1,Toyora Jidosha Kabushiki Kaisha,YES,toyo
15,toyoma,6,"Toyoma Chemical Company, Ltd.",YES,toyo
16,toyoku,1,"Toyoku Kagaku Co., Ltd.",YES,toyo
17,toyoko,12,"Toyoko Giken Co., Ltd.",YES,toyo
18,toyogo,1,"Toyogo, Inc.",YES,toyo
19,toyobo,213,"TOYOBO SPECIALTIES TRADING CO., LTD.",YES,toyo
20,toyoba,1,"Toyo Boseki Kabushiki Kaisha t/a Toyoba Co., Ltd.",YES,toyo
21,toykyo,1,ITEC Toykyo Corporation,YES,toyo
22,toybox,23,Toybox Corporation,YES,toyo
23,touyou,1,"Touyou Yakugyou Co., Ltd.",YES,toyo
24,toryoo,3,Kanpe Katei Toryoo Kabushiki Kaisha,YES,toyo
25,tonyco,1,"Tonyco, Inc.",YES,toyo
26,tokyou,1,"Tokyou Seimitsu Co., Ltd.",YES,toyo
27,toktyo,1,Toktyo Electron Limited,YES,toyo
28,tokkyo,7,Nihon Tokkyo Kanri Company Limited,YES,toyo
29,toytron,1,Toytron Co. Ltd.,YES,toyo
30,toytown,4,Toytown Corporation,YES,toyo
31,toytota,1,Toytota Jidosha Kabushiki Kaisha,YES,toyo
32,toyscom,2,"Light Up Toys.Com, LLC",YES,toyo
33,toyoyta,3,TOYOYTA JIDOSHA KABUSHIKI KAISHA,YES,toyo
34,toyotsu,3,Toyotsu S.K. Company Limited,YES,toyo
35,toyotda,3,TOYOTDA JIDOSHA KABUSHIKI KAISHA,YES,toyo
36,toyotal,2,"Toyotal Motor Engineering & Manufacturing North America, Inc.",YES,toyo
37,toyoshi,5,Toyoshi Fukuda,YES,toyo
38,toyosha,2,"Toyosha Co., Ltd.",YES,toyo
39,toyopet,1,"Nagoya Toyopet Co., Ltd.",YES,toyo
40,toyooko,1,Toyooko Kogyo Kabushiki Kaisha,YES,toyo
41,toyooki,17,Toyooki Kogyo Kabushiki Kaisha,YES,toyo
42,toyokon,1,"Toyokon Kaihatsu Co., Ltd.",YES,toyo
43,toyokoh,2,"TOYOKOH, Co., Ltd.",YES,toyo
44,toyokin,4,Toyokin Kabushiki Kaisha,YES,toyo
45,toyodaa,1,"Toyodaa Gosei Co., Ltd.",YES,toyo
46,toyocom,102,Epson Toyocom Corporation,YES,toyo
47,toyoata,1,Toyoata Jidosha Kabushiki Kaisha,YES,toyo
48,toriyoo,1,Kanpe Katei Toriyoo K.K.,YES,toyo
49,toyu,1,Toyu Food Co-Operative Corporation,YES,toyo
50,toys,866,Big Monster Toys,NO,toyo
51,toyi,1,"Shenzhen Toyi Electronic Co., Ltd.",YES,toyo
52,toya,6,"Toya Soda Manufacturing Co., Ltd.",YES,toyo
53,towo,2,Kabushiki Kaisha Towo Japan,YES,toyo
54,tovo,3,"Tovo Advanced Technologies Co., Ltd.",YES,toyo
55,toto,1021,Toto Ltd.,YES,toyo
56,toso,55,"Toso Susteel Co., Ltd.",YES,toyo
57,toro,701,The Toro Company,NO,toyo
58,topo,1,Topo Target ApS,NO,toyo
59,tomo,18,"Ocean Tomo, LLC",YES,toyo
60,tolo,15,"Tolo, Inc.",YES,toyo
61,toko,307,Toko Kabushiki Kaisha,YES,toyo
62,tojo,2,"Tojo Sea Below, LLC",YES,toyo
63,toho,383,"Toho Rayon Co., Ltd.",YES,toyo
64,togo,66,Togo Seisakusyo Corporation,YES,toyo
65,tofo,1,"Tofo Enterprise Co., Ltd.",YES,toyo
66,todo,5,"TODO WORKS CO., LTD.",NO,toyo
67,tobo,4,"TOBO, LLC",YES,toyo
68,tayo,2,"TAYO YUDEN CO., LTD.",YES,toyo
69,tyo,1,Tyo Productions Inc.,YES,toyo
0,logtic,1,"Cirrus Logtic, Inc.",YES,logic
1,logiic,1,LOGIIC,YES,logic
2,logics,48,Nutri-Logics,NO,logic
3,logick,1,Logick Energetics,YES,logic
4,logice,2,"Cirrus Logice, Inc.",YES,logic
5,loigc,1,LSI Loigc Corporation,YES,logic
6,logi,9,LOGI D INC.,YES,logic
7,lgoic,1,LSI Lgoic Corporation,YES,logic
8,logitec,2,Logitec Europe S.A.,YES,logic
9,logisac,1,LOGISAC Groupement d'Interet Economique Regi par l'Ordonnance,YES,logic
10,logicos,1,Vent-Logos Sistemas Logicos S/A,YES,logic
11,logicor,2,Logicor (R&D) LTD,YES,logic
12,logicon,9,"Logicon, Inc.",YES,logic
13,logicom,1,LOGICOM & WIRELESS LTD.,YES,logic
14,logico2,1,LogiCO2 Online SARL,YES,logic
15,logicar,1,Logicar A/S,YES,logic
16,logicam,1,S.r.l. LO.GI.CAM - Lombarda General Engeenering Costruzioni Automatiche,YES,logic
17,logical,44,ECO-LOGICAL ENTERPRISES B.V.,NO,logic
18,logic9s,2,"Logic9s, LLC",YES,logic
19,loylogic,2,Loylogic Licensing Inc.,YES,logic
20,loglogic,6,"LogLogic, Inc.",YES,logic
21,logitech,955,LOGITECH EUROPE S.A.,YES,logic
22,logistic,48,"MAGNUS PROCUREMENT AND LOGISTIC SOLUTIONS, INC.",NO,logic
23,logicube,2,"Logicube, Inc.",YES,logic
24,logicool,1,"Logicool, Inc.",YES,logic
25,logicode,2,"Logicode Technology, Inc.",YES,logic
26,logicnow,3,LOGICNOW LIMITED,YES,logic
27,logicink,1,LOGICINK CORPORATION,YES,logic
28,logiciel,1,UNIMA LOGICIEL INC.,YES,logic
29,logichub,2,"Logichub, Inc.",YES,logic
30,logiccon,1,Logiccon Design Automation Ltd.,YES,logic
31,logicals,7,ens BIO LOGICALS Inc.,NO,logic
32,loric,1,LORIC LEAVES PTY LTD.,YES,logic
33,longi,1,"LONGI MAGNET Co., Ltd.",YES,logic
34,loi,22,LOI THERMPROCESS GMBH,YES,logic
35,logix,193,"Coherent Logix, Incorporated",YES,logic
36,logis,2,H&P LOGIS INC,YES,logic
37,logiq,1,"Logiq Wireless Solutions, Inc.",YES,logic
38,login,6,LOGIN CORPORATE INVESTMENT GMBH & CO. KG,YES,logic
39,logig,1,LSI Logig Corporation,YES,logic
40,logie,1,Versuchs- und Lehranstalt fur Spiritusfabrikation und Fermentationstechno logie in Berlin,YES,logic
41,log,93,Chrono-Log Corporation,NO,logic
42,locic,1,Virage Locic Corp.,YES,logic
43,lgi,15,LUXURY GOODS INTERNATIONAL (L.G.I.) SA,YES,logic
44,legic,19,LEGIC IDENTSYSTEMS AG,YES,logic
0,facebooke,1,"FACEBOOKE TECHNOLOGIES, LLC",YES ,facebook
1,faceboo,1,"Faceboo, Inc.",YES ,facebook
2,facbook,1,"Facbook, Inc.",YES ,facebook
3,fecebook,1,"Fecebook, Inc.",YES ,facebook
4,fabebook,1,"Fabebook, Inc.",YES ,facebook
0,amazong,1,"Amazong Technologies, Inc.",YES,amazon
1,amazion,2,"Amazion Electronics, Inc.",YES,amazon
2,amaon,1,"Amaon Technologies, Inc.",YES,amazon
3,aamzon,1,"Aamzon Technologies, Inc.",YES,amazon
4,amazonia,9,Instituto Nacional de Pesquisa da Amazonia—INPA,YES,amazon
5,amazonen,33,AMAZONEN-WERKE H. DREYER GMBH & CO. KG,YES,amazon
6,amalon,1,"By Amalon, Inc.",YES,amazon
7,azon,20,Azon Corporation,YES,amazon
8,armazones,2,"FAOSA - Fabrica de Armazones Opticos, S.A.",YES,amazon
9,amon,1,Amon S.R.L.,YES,amazon
10,amazonkey,2,Amazonkey,YES,amazon
11,amazoncom,163,"Amazon.com, Inc.",YES,amazon
12,aman,6,Societe Aman,YES,amazon
13,aaon,12,"Aaon, Inc.",UNK,amazon
14,amano,181,"Amano Pharmaceutical Co., Ltd.",YES,amazon
0,merick,1,The DuPont Merick Pharmaceutical Company,YES,merck
1,mereck,4,Mereck Patent GmbH,YES,merck
2,mercky,1,Mercky Sharp & Dohme Corp.,YES,merck
3,merckx,1,"Eddy Merckx Equipments, naamloze vennootschap",YES,merck
4,mercek,1,"Mercek & Co., Inc.",YES,merck
5,merk,17,Merk Sharp & Dohme Corp.,YES,merck
6,merc,5,Merc Patent GmbH,NO,merck
7,meck,3,Meck Patent GmbH,YES,merck
8,merrick,56,"Merrick Welding International, Inc.",YES,merck
9,merckle,33,Merckle GmbH,YES,merck
10,mareck,3,Mareck B.V.,YES,merck
11,mercutek,4,Mercutek LLC,YES,merck
12,merckens,1,August Merckens Nachfolger Kommanditgesellschaft,YES,merck
13,medtrick,1,Medtrick Inc.,YES,merck
14,maverick,80,"Maverick Biofuels, Inc.",NO,merck
15,mrc,35,MRC Solberg & Andersen AS,YES,merck
16,morck,2,Bruno Jesswein Inh. Werner Morck Kunststofftenchnik,YES,merck
17,metrc,5,METRC LLC,YES,merck
18,merkt,2,Konrad Merkt GmbH,YES,merck
19,merkl,1,"Merkl Technology, Inc.",YES,merck
20,merke,1,Bayerische Motoren Merke Aktiengesellschaft,YES,merck
21,meric,1,"Meric Industries, Inc.",YES,merck
22,merek,4,"Merek & Co., Inc.",YES,merck
23,mercy,47,St. Joseph Mercy Hospital Pontiac,NO,merck
24,merco,7,"Merco Products, Inc.",YES,merck
25,merch,16,Merch Patent GmbH,NO,merck
26,merak,4,Merak S.p.A.,YES,merck
27,mer,90,Universite de Rennes and ID-MER,NO,merck
28,menck,11,Menck GmbH,YES,merck
29,mec,163,Mec-Mor S.p.A.,YES,merck
30,marck,27,"Marck & Associates, Inc.",YES,merck
0,heavey,5,"Meritor Heavey Vehicle Technology, LLC",YES,heavy
1,hevy,1,"Samsung Hevy Industries Co., Ltd.",YES,heavy
2,heay,1,"Mitsubishi Heay Industries, Ltd.",YES,heavy
3,heav,1,"MITSUBISHI HEAV INDUSTRIES PLASTIC TECHNOLOGY CO., LTD.",YES,heavy
4,heavenly,1,"Heavenly Hair Accessories, Inc.",NO,heavy
5,hemay,23,"Tianjin Hemay Pharmaceutical Co., Ltd.",YES,heavy
6,heary,13,"Heary Bros. Lightning Protection Co., Inc.",YES,heavy
7,heany,2,"Heany Industries, Inc.",YES,heavy
8,healy,24,"Healy Systems, Inc.",YES,heavy
9,hea,1,"Hea Associates, Inc.",YES,heavy
10,hav,4,HAV Vaccines Limited,YES,heavy
0,sysytems,7,"Mikro Sysytems, Inc.",YES,systems
1,systgems,1,Toshiba Mitsubishi-Electric Industrial Systgems Corporation,YES,systems
2,systetms,2,"Flo Trend Systetms, Inc.",YES,systems
3,systerms,2,"AXALTA COATING SYSTERMS IP CO., LLC",YES,systems
4,systemts,1,GOODRICH ACTUATION SYSTEMTS LIMITED,YES,systems
5,systemsã,1,Meritor Light Vehicle SystemsÃ¢â‚¬â€France,UNK,systems
6,systemsn,1,Vertest Systemsn Corp.,YES,systems
7,systemsm,1,Chi Mei Communication Systemsm Inc.,YES,systems
8,systemse,1,"Arianex Systemse, Societe Anonyme francaise",YES,systems
9,systemns,2,"Faurecia Interior Systemns, Inc.",YES,systems
10,systembs,2,TRW Airbag Systembs GmbH,YES,systems
11,systemas,1,"Arteche, Instrumentacion y Systemas Electronicos, S.A.",YES,systems
12,sys6tems,1,"Marine Desalination Sys6tems, L.L.P.",YES,systems
13,saystems,1,Silicon Integrated SAystems Corp.,YES,systems
14,sytems,104,"Fuji Electric Sytems Co., Ltd.",YES,systems
15,systsem,1,The Texas A&M University Systsem,YES,systems
16,systmes,12,ELBIT SYSTMES LTD.,YES,systems
17,systesm,4,A. Kayser Automotive Systesm GmbH,YES,systems
18,systes,3,"Cortina Systes, Inc.",YES,systems
19,sysetms,8,"Specialty Coating Sysetms, Inc.",YES,systems
20,sysems,16,"Cool Fog Sysems, Inc.",YES,systems
21,ssytems,6,"Sumitomo Wiring Ssytems, Ltd.",YES,systems
22,sstems,1,Toshiba Medical Sstems Corporation,YES,systems
23,systemsoy,1,SHARPEYE SYSTEMSOY,YES,systems
24,systems3d,2,Mesure-Systems3D SAS,YES,systems
25,systemmes,1,Valeo Systemmes d'Essuyage,YES,systems
26,sytstems,3,"Equalaire Sytstems, Inc.",YES,systems
27,systémes,18,Dassault Systémes Americas Corp.,UNK,systems
28,systàmes,1,Valeo Systàmes d'Essuyage,UNK,systems
29,systmens,1,VESTAS WIND SYSTMENS A/S,YES,systems
30,systesms,2,"TURNER BROADCASTING SYSTESMS, INC.",YES,systems
31,systensm,1,SUMITOMO WIRING SYSTENSM LTD.,YES,systems
32,stystems,5,"M&R Marking Stystems, Inc.",YES,systems
33,sytemes,1,VALEO SYTEMES THERMIQUES,YES,systems
34,sytem,4,THE BOARD OF REGENTS OF THE UNIVERSITY OF TEXAS SYTEM,YES,systems
35,sysytem,2,"Board of Regents, The University of Texas Sysytem",YES,systems
36,sysyems,2,"Cadence Design Sysyems, Inc.",YES,systems
37,systèms,2,Valeo Systèms d'Essuyage,UNK,systems
38,systrms,1,"Ramgen Power Systrms, Inc.",YES,systems
39,systrem,1,"Board of Regents, University of Texas Systrem",YES,systems
40,systens,8,Toshiba Medical Systens Corporation,YES,systems
41,systemz,19,THE HI-TECH ROBOTIC SYSTEMZ LTD,YES,systems
42,systemu,1,"Institut manipulacnich, dopravnich, obalovych a skladovacich systemu",YES,systems
43,systemc,2,"Hitachi ULSI Systemc Co., Ltd.",YES,systems
44,systema,3,Fourth Systema,YES,systems
45,systeem,1,Stichting Binair Vector Systeem in Oegstgeest,YES,systems
46,systeam,1,Systeam Sarl,YES,systems
47,systcms,1,"Bertek Systcms, Inc.",YES,systems
48,sysrems,1,"Citrix Sysrems, Inc.",YES,systems
49,sysem,2,Storage Management Sysem (Pty) Ltd.,YES,systems
50,syatems,5,"The Board of Regents, University of Texas Syatems",YES,systems
51,svstems,6,"Orion Energy Svstems, Inc.",YES,systems
52,sustems,6,Reno Sub-Sustems Canada Incorporated,YES,systems
53,shstems,1,Abbott Cardiovascular Shstems Inc.,YES,systems
54,systemsone,1,"SystemsOne, LLC",YES,systems
55,systemsoft,2,SystemSoft Corporation,YES,systems
56,systemscom,3,Fraud Control Systems.com Corporation,YES,systems
57,systme,2,KNORR-BREMSE SYSTME FUR SCHIENENFAHRZEUGE GMBH,YES,systems
58,sysmte,1,"Hitachi Video and Information Sysmte, Inc.",YES,systems
59,systensms,1,"Chiun Mai Communication Systensms, Inc.",YES,systems
60,systemov,1,"Ustav Pocitacovych systemov, Slovenska adademia vled",YES,systems
61,systemme,1,LTS Lohmann Therapie-Systemme GmbH & Co. KG,YES,systems
62,systemix,48,"Systemix, Inc.",YES,systems
63,systemic,3,Systemic Management Science Corporation,NO,systems
64,systemex,3,Systemex-Energies International Inc.,YES,systems
65,systemet,1,"Kalso Systemet, Inc.",YES,systems
66,systemer,1,Medicotest Systemer A/S,YES,systems
67,systemem,1,Ingenieursbureau voor Systemem en Octrooien Spanstaal B.V.,YES,systems
68,systemee,1,Dassault Systemee,YES,systems
69,systemed,8,"TECHNOLOGIES' XANADU OF RESONATORY-SOLAR-SYSTEMED CO., LTD.",YES,systems
70,systemax,13,Systemax Inc.,YES,systems
71,system73,3,"SYSTEM73, INC.",YES,systems
72,systcoms,1,International Systcoms Limited,YES,systems
73,sysnthes,1,"DePuy Sysnthes Products, LLC",YES,systems
74,sysstems,2,"Meridian Medical Sysstems, LLC",YES,systems
75,syte,1,Spectrum Four-Syte Corporation,YES,systems
76,syst,10,Energyficient Lighting Syst.,NO,systems
77,stem,134,Stem Cells for Safer Medicines Limited,NO,systems
78,syetems,2,Noble Syetems Corporation,YES,systems
79,ststems,8,"Sumitomo Wiring Ststems, Ltd.",YES,systems
80,ssystems,1,Delphi Automotive Ssystems Deutschland GmbH,YES,systems
0,marchinery,1,Burke E. Porter Marchinery Company,YES,machinery
1,mahinery,2,"HITACHI CONSTRUCTION MAHINERY CO., LTD.",YES,machinery
2,macinery,3,"Valmet Paper Macinery, Incorporated",YES,machinery
3,machniery,3,"Tien Heng Machniery Co., Ltd.",YES,machinery
4,machnery,2,"FENGHUA BIDA MACHNERY MANUFACTURE CO., LTD.",YES,machinery
5,machiney,2,"Yi-Da Precision Machiney Co., Ltd.",YES,machinery
6,machiner,3,"Yamazaki Machiner Works, Ltd.",YES,machinery
7,mechinery,2,Precision Mechinery Research & Development Center,YES,machinery
8,mashinery,1,"KOBELCO CONSTRUCTION MASHINERY CO., LTD.",YES,machinery
9,machner,1,Machner & Saurer GmbH,YES,machinery
10,machinary,9,"Toyo Machinary & Metal Co., Ltd.",YES,machinery
11,manchinery,1,"Hitachi Construction Manchinery Co., Ltd.",YES,machinery
12,macine,1,"Molins Macine Company, Inc.",YES,machinery
13,machin,5,Vsesojuzny Nauchno-Issledovatelsky Experminetalno Konstruktorsky Institut Elektrobytovyky Machin I Priborov CNT SUX COD 03,YES,machinery
14,macher,1,Macher & Zorn OEG,YES,machinery
15,michinery,3,Automatik Plastics Michinery GmbH,YES,machinery
16,maschine,2,S. Moore Maschine Limited Liability Company,YES,machinery
17,machinex,3,INDUSTRIES MACHINEX INC.,YES,machinery
18,machinen,14,BHS Corrugated Machinen und Anlangenbau GmbH,YES,machinery
19,machined,11,Engineered Machined Products,NO,machinery
20,macherey,12,Macherey-Nagel GmbH & Co. KG,YES,machinery
21,macchine,620,I.M.I. Industria Macchine Idrauliche S.p.A.,YES,machinery
22,mchenry,3,"McHenry Systems, Inc.",YES,machinery
23,machineries,15,"Dasan Machineries Co., Ltd.",NO,machinery
24,maschineń,1,IPROTEC MASCHINEŃ- UND EDELSTAHLPRODUKTE GMBH,UNK,machinery
25,maschinem,1,Clyde Bergemann GmbH Maschinem-Und Apparatebau,YES,machinery
26,machiness,23,International Business Machiness Corporation,YES,machinery
27,machinese,1,International Business Machinese Corporation,YES,machinery
28,machinesc,1,International Business Machinesc Corporation,YES,machinery
29,machinees,2,International Business Machinees Corporation,YES,machinery
30,machinecs,1,International Business Machinecs Corporation,YES,machinery
31,machinces,11,"American Wave Machinces, Inc.",YES,machinery
32,machinale,4,S.M. Scienzia Machinale S.R.L.,YES,machinery
33,machiines,2,INTERNATIONAL BUSINESS MACHIINES CORPORATION,YES,machinery
34,macahines,1,INTERNATIONAL BUSINESS MACAHINES CORPORATION,YES,machinery
0,telegrraph,1,"American Telephone and Telegrraph Company, AT&T Bell Laboratories",YES,telegraph
1,telegraphy,2,American Telephone and Telegraphy Company,NO,telegraph
2,telgraph,6,NIPPON TELGRAPH AND TELEPHONE CORPORATION,YES,telegraph
3,telegrph,1,"American Telephone and Telegrph Company, AT&T Bell Laboratories",YES,telegraph
4,telegrpah,1,Nippon Telegrpah and Telephone Public Corporation,YES,telegraph
5,telegrah,2,Nippon Telegrah and Telephone Corporation,YES,telegraph
6,telegraphie,10,"De Staat der Nederlanden, Te Dezen Vertegenwoordigd Door de Directeur-Generaal der Posterijen, Telegraphie en Telefonie",YES,telegraph
7,telegraphic,5,Datum Telegraphic Inc.,NO,telegraph
8,telegraphen,2,Telephon- und Telegraphen-Fabriks-Aktiengesellschaft Kapsch & Sohne in Wien,YES,telegraph
9,telegraoh,1,Nippon Telegraoh and Telephone Corporation,YES,telegraph
10,telegragh,1,Nippon Telegragh and Telephone Corporation,YES,telegraph
11,telegraphics,1,Societe Lignes Telegraphics et Telephoniques,NO,telegraph
12,telegraphand,1,Nippon Telegraphand Telephone Corporation,YES,telegraph
13,telepgraph,1,Nippon Telepgraph and Telehone Corporation,YES,telegraph
14,telera,3,"Telera, Inc.",YES,telegraph
15,telegram,3,Telegram Communications Corp.,NO,telegraph
0,fujix,7,"Fujix, Inc.",YES,fuji
1,fujio,5,Fujio Bolt Manufacturing Co. Ltd.,YES,fuji
2,fujin,6,"Fujin Precision Industrial (Jincheng)Co., Ltd.",YES,fuji
3,fujii,24,Yugen Kaisha Fujii Piano Service,YES,fuji
4,fujie,1,Fujie Bussan Kabushiki Kaisha,YES,fuji
5,fujic,1,"Fujic Fishing Tackle Mfg. Co., Ltd.",YES,fuji
6,fujia,1,"NINGBO FUJIA INDUSTRIAL CO., LTD.",YES,fuji
7,fuij,3,"Fuij Photo Film Co., Ltd.",YES,fuji
8,fui,2,"FUI ELECTRIC CO., LTD.",UNK,fuji
9,fjui,3,"Fjui Photo Film Co., Ltd.",YES,fuji
10,fukuji,1,Yugen Kaishi Fukuji Corporation,YES,fuji
11,fujkin,1,FUJKIN INCORPORATED,YES,fuji
12,fujiya,2,Fujiya Kabushiki Kaisha,UNK,fuji
13,fujiwa,19,"FUJIWA DENKI CO., LTD.",YES,fuji
14,fujitu,9,Fujitu Limited,YES,fuji
15,fujits,1,Fujits Limited,YES,fuji
16,fujita,40,Fujita Health University,YES,fuji
17,fujisu,5,Fujisu Limited,YES,fuji
18,fujino,3,"Fujino Brain Research, Ltd.",YES,fuji
19,fujimi,194,FUJIMI INCORPORATED,YES,fuji
20,fujima,2,FUJIMA INCORPORATED,YES,fuji
21,fujilm,2,FUJILM CORPORATION,YES,fuji
22,fujiko,2,Kabushiki Kaisha Fujiko,YES,fuji
23,fujiki,1,Fujiki Denki Kabushiki Kaisha,YES,fuji
24,fujika,2,"Fujika Co., Ltd.",YES,fuji
25,fujiei,1,Fujiei Inc.,YES,fuji
26,fujico,6,"FUJICO CO., LTD",YES,fuji
27,fujibo,16,"Fujibo Holdings, Inc.",YES,fuji
28,fujian,391,"Fujian Jinhua Integrated Circuit Co., Ltd.",YES,fuji
29,fujtisu,13,Fujtisu Limited,YES,fuji
30,fujiwpc,1,"FujiWPC Co., Ltd.",UNK,fuji
31,fujitus,6,Fujitus Limited,YES,fuji
32,fujitso,1,Fujitso Ten Limited,YES,fuji
33,fujitsi,6,FUJITSI LIMITED,YES,fuji
34,fujitok,1,"Fujitok Co., Ltd.",YES,fuji
35,fujitju,1,Fujitju Limited,YES,fuji
36,fujitec,36,"Fujitec Co., Ltd.",YES,fuji
37,fujistu,29,Fujistu Limited,YES,fuji
38,fujirex,2,"Fujirex Company, Limited",YES,fuji
39,fujipla,2,Fujipla Inc.,YES,fuji
40,fujinon,710,Fujinon Corporation,YES,fuji
41,fujimiy,3,"FUJIMIY ASEISAKUSHO CO., LTD.",UNK,fuji
42,fujimak,10,Fujimak Corporation,YES,fuji
43,fujilin,1,Fujilin Incorporated,YES,fuji
44,fujikon,2,"Fujikon Industrial Co., Ltd",YES,fuji
45,fujikin,354,Fujikin Incorporated,YES,fuji
46,fujiken,3,"Fujiken, Inc.",YES,fuji
47,fujikam,2,"Shenzhen Fujikam Industry Development Co., Ltd.",YES,fuji
48,fujijin,1,"Osaka Fujijin Co., Ltd.",UNK,fuji
49,fujiisu,1,Fujiisu Limited,YES,fuji
50,fujigsu,1,Fujigsu Limited,YES,fuji
51,fujigen,4,FUJIGEN INC.,YES,fuji
52,fujifim,2,FUJIFIM CORPORATION,YES,fuji
53,fujifil,1,FUJIFIL Corporation,YES,fuji
54,fujidie,1,"Fujidie Co., Ltd.",YES,fuji
55,fujicom,1,Fujicom Ltd.,YES,fuji
56,fujicco,1,"Fujicco Co., Ltd.",YES,fuji
57,fujicar,2,Fujicar Manu. Co. Ltd.,YES,fuji
58,fujiang,1,"Fujiang Lonjing Environment Technology Co., Ltd.",YES,fuji
59,fujfilm,6,Fujfilm Corporation,YES,fuji
60,fuiji,1,"Fuiji Photo Film Company, Ltd.",YES,fuji
61,fuvi,11,FUVI COGNITIVE NETWORK CORP.,YES,fuji
62,fuui,1,"Fuui Photo Film Co., Ltd.",YES,fuji
63,furi,1,FURI DESIGN INC.,YES,fuji
64,funi,1,Funi Oozx Inc.,YES,fuji
65,fumi,3,Fumi Sato,YES,fuji
66,fuli,2,"Fuli Electric Co., Ltd.",YES,fuji
67,fuki,4,"Fuki Electric Co., Ltd.",YES,fuji
68,fuju,7,"Fuju Photo Film Co., Ltd.",YES,fuji
69,fuii,1,Fuii Jukogyo Kabushiki Kaisha,UNK,fuji
70,fugi,16,Fugi Jukogyo Kabushiki Kaisha,UNK,fuji
71,fudi,1,"SHANGHAI FUDI LIGHTING ELECTRONIC CO., LTD.",YES,fuji
72,fiji,4,"Fiji Xerox Co., Ltd.",NO,fuji
0,thermapeutics,1,"Thermapeutics, Inc.",YES,therapeutics
1,therapeautics,8,"PELOTON THERAPEAUTICS, INC.",YES,therapeutics
2,therpeutics,8,"Mersana Therpeutics, Inc.",YES,therapeutics
3,therepautics,1,PROCELL THEREPAUTICS INC.,YES,therapeutics
4,theraputics,7,"Protagonist Theraputics, Inc.",YES,therapeutics
5,therapuetics,9,Stem Cell Therapuetics Inc.,YES,therapeutics
6,therapeutis,1,Regulus Therapeutis Inc.,YES,therapeutics
7,therapeutic,437,"Therapeutic Proteins International, LLC",NO,therapeutics
8,therapeutcis,1,"VELICEPT THERAPEUTCIS, INC.",YES,therapeutics
9,therapetuics,1,"Molecular Therapetuics, Inc.",YES,therapeutics
10,therapetics,2,"Pulse Therapetics, Inc.",YES,therapeutics
11,theraeputics,1,"CV Theraeputics, Inc.",YES,therapeutics
12,theapeutics,3,Nektar Theapeutics,YES,therapeutics
13,terapeutics,1,"NEOS Terapeutics, LP",YES,therapeutics
14,therapeuticsmd,41,"TherapeuticsMD, Inc.",YES,therapeutics
15,therapeuticals,5,Euticals Prime European Therapeuticals SpA,YES,therapeutics
16,thereapeutics,3,"VLP Thereapeutics, LLC",YES,therapeutics
17,therapeuctics,3,AUTIFONY THERAPEUCTICS LIMITED,YES,therapeutics
18,thraputics,1,"Aileron Thraputics, Inc.",YES,therapeutics
19,therpeutic,1,Inhale Therpeutic Systems,YES,therapeutics
20,terapeutic,3,Advanced Terapeutic Technologies AT,YES,therapeutics
21,theraprutics,1,"OCUNEXUS THERAPRUTICS, INC.",YES,therapeutics
22,therapeuties,1,"Trinity Therapeuties, Inc.",YES,therapeutics
23,therapeutica,1,Nektar Therapeutica,YES,therapeutics
24,therapertics,1,Wellstat Therapertics Corporation,YES,therapeutics
25,therapautics,1,Denali Therapautics Inc.,YES,therapeutics
26,therabeutics,1,TCR2 THERABEUTICS INC.,YES,therapeutics
27,terapeuticas,3,Sociedad Espanola de Especialidades Farmaco-Terapeuticas S.A.,YES,therapeutics
28,therapeutical,4,Therapeutical Systems Corp.,YES,therapeutics
29,theurapeutics,1,"CV Theurapeutics, Inc.",YES,therapeutics
30,theerapeutics,1,"Immport Theerapeutics, Inc.",YES,therapeutics
31,therpautices,1,Minovia Therpautices Ltd.,YES,therapeutics
32,therapics,1,"Animal Cell Therapics, Inc.",YES,therapeutics
33,therepeutics,2,"Five Prime Therepeutics, Inc.",YES,therapeutics
34,therapeutix,7,"Portable Therapeutix, LLC",YES,therapeutics
35,therapeutik,2,Unither Therapeutik GmbH,YES,therapeutics
36,therapeuric,1,Juridical Foundation The Chemo-Sero-Therapeuric Research Institute,YES,therapeutics
37,terapeutisk,2,Novo Terapeutisk Laboratorium A/S,YES,therapeutics
38,therapeutiques,20,Societe de Coordination de Recherches Therapeutiques,YES,therapeutics
39,therapeucials,1,Prime European Therapeucials S.p.A.,YES,therapeutics
40,theranentics,1,PTC Theranentics. Inc.,YES,therapeutics
41,therametrics,1,"Therametrics Technologies, Inc.",YES,therapeutics
42,thermetics,1,"Thermetics, Inc.",YES,therapeutics
43,therapeutx,58,"Microdose Therapeutx, Inc.",YES,therapeutics
44,therapeias,1,"Therapeias Health Management, LLC",YES,therapeutics
45,therapedic,1,"Therapedic of New England, LLC",YES,therapeutics
